layer,img_name,x,y,coverage,weight(kg),thickness,breathability,brightness,waterproofing,sportiness,formality,loungeablity
0,0_BASE.png,0,0,1.00,0,0.00,1.00,0.00,0.00,0.00,0.00,0.50


1,1_CARMEN_LIU_PINK.png,0,0

1,1_LACEY_BRA.png,0,0,0.05,0.03,0.05,0.80,-0.99,-0.75,-0.60,0.85,-0.70


2,2_BLACK_LEGGINGS.png,0,0,0.60,0.20,0.08,0.45,-0.99,-0.10,0.65,0.75,0.85
2,2_BLACK_LEGGINGS_WITH_STRIPES.png,0,0,0.60,0.25,0.10,0.35,-0.98,0.55,0.80,-0.75,0.10
2,2_FISHNETS.png,0,0,0.60,0.03,0.01,0.99,-0.10,0.15,-0.10,0.90,-0.05
2,2_GRAY_LEGGINGS.png,0,0,0.60,0.20,0.08,0.50,-0.20,-0.10,0.10,0.10,0.75
2,2_LIGHT_GRAY_LEGGINGS.png,0,0,0.60,0.20,0.08,0.50,0.50,-0.10,0.15,0.45,0.75
2,2_RED_LEGGINGS_WITH_MESH.png,0,0,0.60,0.25,0.09,0.40,-0.70,0.50,0.75,0.05,0.13
2,2_SPACE_PAJAMAS.png,0,0,0.45,0.18,0.04,0.70,-0.85,-0.65,-0.65,-0.90,0.90
2,2_STAR_PAJAMAS.png,0,0,0.50,0.20,0.04,0.65,-0.15,-0.70,-0.80,-0.85,0.88


3,3_MERRELS.png,0,0,0.05,1.20,0.65,0.30,0.30,0.98,0.30,-0.60,-0.50
3,3_TOMMYS.png,0,0,0.03,1.00,0.40,0.35,0.80,0.50,0.65,0.10,0.10


4,4_WHITE_UNDER_SHIRT.png,0,0
4,4_YELLOW_BATWING.png,0,0,0.60,0.25,0.15,0.20,0.45,-0.75,-0.45,0.40,0.85
4,4_ORANGE_SWEATER.png,0,0
4,4_BAGGY_BLUE_SHIRT.png,0,0
4,4_DARK_BLUE_STRIPE_SHIRT.png,0,0
4,4_LACEY_RED_SHIRT.png,0,0
4,4_RED_SWEATER.png,0,0
4,4_BEE_SHIRT.png,0,0
4,4_PINK_LONGSLEEVE.png,0,0
4,4_BLUE_LONGSLEEVE_CROSS.png,0,0,0.50,0.22,0.12,0.25,-0.80,-0.25,-0.65,0.85,-0.60
4,4_GREEN_STRIPED_SHIRT.png,0,0,0.40,0.20,0.04,0.75,0.80,-0.45,-0.21,0.83,0.25
4,4_PINK_CHECKER.png,0,0
4,4_HAWAIIAN_SHIRT.png,0,0
4,4_PINK_DRESSY_TOP.png,0,0,0.35,0.22,0.12,0.60,0.75,0.10,-0.95,0.90,-0.70
4,4_BAGGY_WHITE_SHIRT.png,0,0
4,4_BW_THIN_STRIPED_SHIRT.png,0,0,
4,4_MARCH_MADNESS_SHIRT.png,0,0
4,4_CYAN_SHIRT.png,0,0,
4,4_SHELTON_GAELS_SHIRT.png,0,0,0.40,0.20,0.08,0.55,-0.35,0.00,0.75,-0.70,0.65
4,4_BW_STRIPED_SHIRT.png,0,0,0.40,0.20,0.10,0.50,0.08,-0.02,-0.10,0.78,0.35
4,4_PINK_T_SHIRT.png,0,0
4,4_LION_KING_SHIRT.png,0,0
4,4_SLEEVELESS_RED_SWEATER.png,0,0
4,4_BLACK_SUMMER_TOP.png,0,0,0.25,0.18,0.05,0.85,-0.98,0.15,0.65,0.80,0.80
4,4_CYAN_CROP.png,0,0

4,4_BLACK_FOLD_DRESS.png,0,0
4,4_FLORAL_BLUE_DRESS.png,0,0
4,4_ORANGE_MERMAID_DRESS.png,0,0


5,5_GRAY_SHORTS.png,0,0,0.15,0.25,0.30,0.40,-0.10,0.30,-0.15,0.55,0.10
5,5_BLUE_SHORTS.png,0,0,0.15,0.25,0.30,0.40,0.20,0.30,-0.10,0.45,0.10


6,6_BLACK_SKIRT_SHORT.png,0,0,0.35,0.20,0.25,0.45,-0.90,0.20,-0.05,0.88,0.10
6,6_BLACK_SKIRT_LONG.png,0,0,0.60,0.25,0.25,0.45,-0.92,0.20,-0.85,0.95,-0.65


7,7_BRACELET.png,0,0,0.01,0.01,0.00,0.98,0.80,0.90,0.30,0.80,-0.05
7,7_CHOKER.png,0,0,0.01,0.01,0.00,0.98,-0.90,0.90,-0.05,0.90,-0.01
7,7_DOLPHIN_NECKLACE.png,0,0,0.01,0.01,0.00,0.99,0.80,0.90,-0.85,0.90,-0.10


8,8_GRAY_CARDIGAN_THICK.png,0,0,0.58,0.35,0.80,0.10,0.25,-0.15,-0.93,0.20,0.90
8,8_GREEN_IRELAND_HOODIE.png,0,0,0.64,0.38,0.84,0.07,0.15,0.45,-0.15,-0.45,-0.20
8,8_PINK_IRELAND_HOODIE.png,0,0,0.64,0.38,0.84,0.07,0.13,0.45,-0.16,-0.45,-0.20
8,8_TOMMY_JACKET.png,0,0,0.50,0.35,0.60,0.05,-0.54,0.30,-0.05,0.65,-0.50


9,9_SMALL_BAG.png,0,0,0.05,0.35,0.00,0.00,-0.60,0.20,-0.90,0.90,-0.90
9,9_GUESS_BAG.png,0,0,0.05,0.50,0.00,0.00,-0.80,0.45,0.10,0.75,-0.80


10,10_DOWN_SHOULDER.png,0,0,0.03,0.00,0.50,0.10,-0.80,-0.10,-0.80,0.90,-0.10
10,10_HAT_DOWN.png,0,0,0.03,0.00,0.50,0.15,-0.80,0.00,-0.65,0.88,-0.05
10,10_PONY.png,0,0,0.02,0.01,0.50,0.90,-0.75,0.10,0.90,0.60,0.85


11,11_PINK_TRANSPARENT_HORNRIM.png,0,0,0.01,0.01,0.00,0.99,0.90,0.99,0.05,0.75,0.90
11,11_SUNGLASSES.png,0,0,0.01,0.01,0.00,0.99,-0.80,0.95,0.75,-0.50,-0.90
11,11_TOP_RIM.png,0,0,0.01,0.01,0.00,0.99,0.90,0.97,-0.45,0.90,-0.05


12,12_PINK_MESH_CAP.png,0,0,0.03,0.05,0.03,0.75,0.50,0.55,0.80,-0.75,-0.80
12,12_BOSTON_CAP.png,0,0,0.03,0.05,0.04,0.45,0.60,0.18,0.50,-0.40,-0.20
